name,store_count,price_cents
Smartphone Apple iPhone 8 64GB 12.0 MP Apple A11 Bionic iOS 11,14,255100
Smartphone Apple iPhone 8 128GB 12.0 MP iOS 11,6,290300
Smartphone Apple iPhone 8 256GB 12.0 MP Apple A11 Bionic iOS 11,5,325400
Smartphone Apple iPhone 8 Plus 64GB Câmera Dupla Apple A11 Bionic iOS 11,11,299800
Smartphone Apple iPhone 11 64GB Câmera Dupla Apple A13 Bionic iOS 13,8,439900
Smartphone Apple iPhone 8 Plus 128GB Câmera Dupla Apple A11 Bionic iOS 11,11,364800
Smartphone Apple iPhone X 64GB Câmera Dupla Apple A11 Bionic iOS 11,5,408400
Smartphone Apple iPhone 8 Plus 256GB Câmera Dupla Apple A11 Bionic iOS 11,3,351900
Smartphone Apple iPhone 11 Pro 64GB Câmera Tripla Apple A13 Bionic iOS 13,8,615900
Smartphone Apple iPhone 6 6 32GB 32GB 8.0 MP Apple A8 iOS 8,5,143600
"Novo Smartphone Apple iPhone 6 64GB Câmera 8,0 MP iOS 8 3G 4G Wi-Fi",3,189000
Smartphone Apple iPhone X 256GB Câmera Dupla Apple A11 Bionic iOS 11,4,568000
Smartphone Apple iPhone 11 Pro 256GB Câmera Tripla Apple A13 Bionic iOS 13,7,686300
Novo Smartphone Apple iPhone 6 16GB Câmera iOS 8 4G Wi-Fi 3G,4,150000
Smartphone Apple iPhone XS 64GB Câmera Dupla Apple A12 Bionic 2 Chips iOS 12,8,519900
Smartphone Apple iPhone XS 256GB Câmera Dupla Apple A12 Bionic 2 Chips iOS 12,10,537200
Smartphone Apple iPhone 6S 6S 64GB 64GB 12.0 MP Apple A9 iOS 9,5,165900
Smartphone Apple iPhone 6S 6S 16GB 16GB 12.0 MP Apple A9 iOS 9,3,169800
Smartphone Apple iPhone 11 Pro 512GB Câmera Tripla Apple A13 Bionic iOS 13,4,791900
Smartphone Apple iPhone XR 64GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,10,317400
Smartphone Apple iPhone 7 7 32GB 32GB 12.0 MP Apple A10 Fusion iOS 10,14,199900
Smartphone Apple iPhone XR 128GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,10,369500
Smartphone Apple iPhone 6S 6S 32GB 32GB 12.0 MP Apple A9 iOS 9,13,149900
Smartphone Apple iPhone SE SE 32GB 32GB 12.0 MP Apple A9 iOS 9,5,109100
Smartphone Apple iPhone XR Vermelho 64GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,4,369900
Smartphone Apple iPhone XR Vermelho 128GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,5,404700
Smartphone Apple iPhone 11 Pro Max 256GB Câmera Tripla Apple A13 Bionic iOS 13,6,739100
Smartphone Apple iPhone 7 7 128GB 128GB 12.0 MP Apple A10 Fusion iOS 10,9,249900
Smartphone Apple iPhone 7 Plus 7 Plus 128GB 128GB 12.0 MP Câmera Dupla Apple A10 Fusion iOS 10,5,340000
Smartphone Apple iPhone 6S Plus 6S Plus 32GB 32GB 12.0 MP Apple A9 iOS 9,1,219900
Smartphone Apple iPhone 11 Pro Max 64GB Câmera Tripla Apple A13 Bionic iOS 13,7,668700
Smartphone Apple iPhone 11 256GB Câmera Dupla Apple A13 Bionic iOS 13,8,510300
Smartphone Apple iPhone 7 Plus 7 Plus 32GB 32GB 12.0 MP Câmera Dupla Apple A10 Fusion iOS 10,6,294700
Smartphone Apple iPhone XR 256GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,8,439900
Smartphone Apple iPhone 6S Plus 6S Plus 128GB 128GB 12.0 MP Apple A9 iOS 9,3,247900
Smartphone Apple iPhone 11 Pro Max 512GB Câmera Tripla Apple A13 Bionic iOS 13,7,844700
