price,name,store_count
R$ 2.551,Smartphone Apple iPhone 8 64GB 12.0 MP Apple A11 Bionic iOS 11,em 14 lojas
R$ 2.903,Smartphone Apple iPhone 8 128GB 12.0 MP iOS 11,em 6 lojas
R$ 3.254,Smartphone Apple iPhone 8 256GB 12.0 MP Apple A11 Bionic iOS 11,em 5 lojas
R$ 2.998,Smartphone Apple iPhone 8 Plus 64GB Câmera Dupla Apple A11 Bionic iOS 11,em 11 lojas
R$ 4.399,Smartphone Apple iPhone 11 64GB Câmera Dupla Apple A13 Bionic iOS 13,em 8 lojas
R$ 3.648,Smartphone Apple iPhone 8 Plus 128GB Câmera Dupla Apple A11 Bionic iOS 11,em 11 lojas
R$ 4.084,Smartphone Apple iPhone X 64GB Câmera Dupla Apple A11 Bionic iOS 11,em 5 lojas
R$ 3.519,Smartphone Apple iPhone 8 Plus 256GB Câmera Dupla Apple A11 Bionic iOS 11,em 3 lojas
R$ 6.159,Smartphone Apple iPhone 11 Pro 64GB Câmera Tripla Apple A13 Bionic iOS 13,em 8 lojas
R$ 1.436,Smartphone Apple iPhone 6 6 32GB 32GB 8.0 MP Apple A8 iOS 8,em 5 lojas
R$ 1.890,"Novo Smartphone Apple iPhone 6 64GB Câmera 8,0 MP iOS 8 3G 4G Wi-Fi",em 3 lojas
R$ 5.680,Smartphone Apple iPhone X 256GB Câmera Dupla Apple A11 Bionic iOS 11,em 4 lojas
R$ 6.863,Smartphone Apple iPhone 11 Pro 256GB Câmera Tripla Apple A13 Bionic iOS 13,em 7 lojas
R$ 1.500,Novo Smartphone Apple iPhone 6 16GB Câmera iOS 8 4G Wi-Fi 3G,em 4 lojas
R$ 5.199,Smartphone Apple iPhone XS 64GB Câmera Dupla Apple A12 Bionic 2 Chips iOS 12,em 8 lojas
R$ 5.372,Smartphone Apple iPhone XS 256GB Câmera Dupla Apple A12 Bionic 2 Chips iOS 12,em 10 lojas
R$ 1.659,Smartphone Apple iPhone 6S 6S 64GB 64GB 12.0 MP Apple A9 iOS 9,em 5 lojas
R$ 1.698,Smartphone Apple iPhone 6S 6S 16GB 16GB 12.0 MP Apple A9 iOS 9,em 3 lojas
R$ 7.919,Smartphone Apple iPhone 11 Pro 512GB Câmera Tripla Apple A13 Bionic iOS 13,em 4 lojas
R$ 3.174,Smartphone Apple iPhone XR 64GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,em 10 lojas
R$ 1.999,Smartphone Apple iPhone 7 7 32GB 32GB 12.0 MP Apple A10 Fusion iOS 10,em 14 lojas
R$ 3.695,Smartphone Apple iPhone XR 128GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,em 10 lojas
R$ 1.499,Smartphone Apple iPhone 6S 6S 32GB 32GB 12.0 MP Apple A9 iOS 9,em 13 lojas
R$ 1.091,Smartphone Apple iPhone SE SE 32GB 32GB 12.0 MP Apple A9 iOS 9,em 5 lojas
R$ 3.699,Smartphone Apple iPhone XR Vermelho 64GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,em 4 lojas
R$ 4.047,Smartphone Apple iPhone XR Vermelho 128GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,em 5 lojas
R$ 7.391,Smartphone Apple iPhone 11 Pro Max 256GB Câmera Tripla Apple A13 Bionic iOS 13,em 6 lojas
R$ 2.499,Smartphone Apple iPhone 7 7 128GB 128GB 12.0 MP Apple A10 Fusion iOS 10,em 9 lojas
R$ 3.400,Smartphone Apple iPhone 7 Plus 7 Plus 128GB 128GB 12.0 MP Câmera Dupla Apple A10 Fusion iOS 10,em 5 lojas
R$ 2.199,Smartphone Apple iPhone 6S Plus 6S Plus 32GB 32GB 12.0 MP Apple A9 iOS 9,em 1 lojas
R$ 6.687,Smartphone Apple iPhone 11 Pro Max 64GB Câmera Tripla Apple A13 Bionic iOS 13,em 7 lojas
R$ 5.103,Smartphone Apple iPhone 11 256GB Câmera Dupla Apple A13 Bionic iOS 13,em 8 lojas
R$ 2.947,Smartphone Apple iPhone 7 Plus 7 Plus 32GB 32GB 12.0 MP Câmera Dupla Apple A10 Fusion iOS 10,em 6 lojas
R$ 4.399,Smartphone Apple iPhone XR 256GB 12.0 MP Apple A12 Bionic 2 Chips iOS 12,em 8 lojas
R$ 2.479,Smartphone Apple iPhone 6S Plus 6S Plus 128GB 128GB 12.0 MP Apple A9 iOS 9,em 3 lojas
R$ 8.447,Smartphone Apple iPhone 11 Pro Max 512GB Câmera Tripla Apple A13 Bionic iOS 13,em 7 lojas
